session,result,reset_to_run_s,run_to_slac_start_s,run_to_slac_match_s,run_to_precharge_s,run_to_relay_close_s,run_to_delivery_s,run_to_current_demand_s,run_to_cp_c_s,run_to_cd_ready_s,hold_until_stop_s,stop_to_relay_open_s,stop_to_hlc_done_s,stop_to_stop_done_s,run_total_s,current_demand_v_min,current_demand_v_max,current_demand_i_min,current_demand_i_max,qca_overrun_events,ack_timeout_events,serial_link_events,qca_reprime_events
01,pass,15.0,4.442,6.122,10.398,10.875,11.409,11.609,10.869,12.62,120.085,0.26,12.213,12.22,145.0,214.5,500.5,21.3,41.8,0,0,0,1
02,pass,14.0,4.93,6.612,10.885,11.294,11.689,11.895,11.289,12.982,120.034,0.395,12.217,12.292,145.0,249.3,500.5,23.2,41.3,0,0,0,1
03,pass,14.0,5.556,7.238,11.512,11.737,12.489,12.751,11.723,14.092,120.021,0.259,12.235,12.427,146.0,27.2,500.5,2.0,41.2,0,0,0,1
04,pass,14.0,5.608,7.289,11.496,11.841,12.507,12.704,11.832,13.797,120.189,0.526,12.21,12.346,146.0,27.3,500.5,2.0,41.2,0,0,0,1
05,pass,14.0,5.297,6.977,11.193,11.609,12.197,12.398,11.597,13.358,120.063,0.256,12.23,12.249,145.0,214.8,500.5,20.5,41.1,0,0,0,1
06,pass,15.0,4.71,6.39,10.604,11.016,11.618,11.817,11.01,12.71,120.167,0.274,12.23,12.237,145.0,232.2,500.5,22.2,41.1,0,0,0,1
07,pass,14.0,5.446,7.131,11.342,11.691,12.351,12.549,11.682,13.845,120.144,0.341,12.227,12.3,146.0,27.2,500.5,2.0,41.1,0,0,0,1
08,pass,14.0,5.328,7.005,11.28,11.624,12.09,12.289,11.619,13.312,120.084,0.334,12.222,12.296,145.0,230.7,500.5,22.3,41.0,0,0,0,1
09,pass,15.0,4.764,6.446,10.723,10.932,11.527,11.726,10.924,12.821,120.082,0.137,12.232,,145.0,236.2,500.5,22.3,41.0,0,0,0,1
10,pass,14.0,5.246,6.94,11.14,11.478,11.943,12.147,11.473,13.435,120.217,0.458,12.207,12.28,146.0,210.1,500.4,20.4,41.0,0,0,0,1
