session,result,failure,summary_file,log_file,reset_log,reset_to_slac_start,reset_to_slac_match,reset_to_precharge,reset_to_relay_close,reset_to_delivery,reset_to_current_demand,reset_to_charge_ready,hold_until_stop,stop_to_relay_open,stop_to_hlc_done,stop_to_stop_done,reset_to_done_end,min_present_v,max_present_v,min_present_i,max_present_i,qca_reprime_events,overrun_events
01,pass,,logs/standalone_plc2_module2_10x2min_gap30_20260320_205447_session01_summary.json,logs/standalone_plc2_module2_10x2min_gap30_20260320_205447_session01.log,logs/standalone_plc2_module2_10x2min_gap30_20260320_205447_session01_reset.log,139.686,14.701,18.074,18.677,19.039,19.16,19.16,120.164,0.121,0.121,,149.336,0.0,500.5,0.0,41.6,1,0
02,pass,,logs/standalone_plc2_module2_10x2min_gap30_20260320_205447_session02_summary.json,logs/standalone_plc2_module2_10x2min_gap30_20260320_205447_session02.log,logs/standalone_plc2_module2_10x2min_gap30_20260320_205447_session02_reset.log,139.335,,17.711,18.554,18.554,18.795,18.796,120.177,0.121,0.121,,148.986,0.0,500.5,0.0,41.1,1,0
03,pass,,logs/standalone_plc2_module2_10x2min_gap30_20260320_205447_session03_summary.json,logs/standalone_plc2_module2_10x2min_gap30_20260320_205447_session03.log,logs/standalone_plc2_module2_10x2min_gap30_20260320_205447_session03_reset.log,139.671,14.704,18.077,18.681,19.043,19.163,19.163,120.145,0.12,0.121,,149.32,0.0,500.5,0.0,41.0,1,0
04,pass,,logs/standalone_plc2_module2_10x2min_gap30_20260320_205447_session04_summary.json,logs/standalone_plc2_module2_10x2min_gap30_20260320_205447_session04.log,logs/standalone_plc2_module2_10x2min_gap30_20260320_205447_session04_reset.log,56.237,57.803,61.177,62.03,62.15,62.274,62.274,120.212,0.121,0.121,,192.5,0.0,500.5,0.0,41.1,2,0
05,pass,,logs/standalone_plc2_module2_10x2min_gap30_20260320_205447_session05_summary.json,logs/standalone_plc2_module2_10x2min_gap30_20260320_205447_session05.log,logs/standalone_plc2_module2_10x2min_gap30_20260320_205447_session05_reset.log,139.325,,17.712,18.555,18.555,18.676,18.796,120.166,0.121,0.121,,148.988,0.0,500.5,0.0,40.97,1,0
06,pass,,logs/standalone_plc2_module2_10x2min_gap30_20260320_205447_session06_summary.json,logs/standalone_plc2_module2_10x2min_gap30_20260320_205447_session06.log,logs/standalone_plc2_module2_10x2min_gap30_20260320_205447_session06_reset.log,139.817,14.721,18.094,18.698,19.059,19.179,19.3,120.155,0.121,0.121,,149.467,0.0,500.5,0.0,40.95,1,0
07,pass,,logs/standalone_plc2_module2_10x2min_gap30_20260320_205447_session07_summary.json,logs/standalone_plc2_module2_10x2min_gap30_20260320_205447_session07.log,logs/standalone_plc2_module2_10x2min_gap30_20260320_205447_session07_reset.log,139.349,,17.716,18.56,18.56,18.68,18.801,120.186,0.121,0.121,,148.998,0.0,500.5,0.0,40.95,1,0
08,pass,,logs/standalone_plc2_module2_10x2min_gap30_20260320_205447_session08_summary.json,logs/standalone_plc2_module2_10x2min_gap30_20260320_205447_session08.log,logs/standalone_plc2_module2_10x2min_gap30_20260320_205447_session08_reset.log,139.666,14.698,18.071,18.675,19.037,19.157,19.157,120.147,0.121,0.121,,149.318,0.0,500.5,0.0,40.95,1,0
09,pass,,logs/standalone_plc2_module2_10x2min_gap30_20260320_205447_session09_summary.json,logs/standalone_plc2_module2_10x2min_gap30_20260320_205447_session09.log,logs/standalone_plc2_module2_10x2min_gap30_20260320_205447_session09_reset.log,56.266,57.834,61.206,62.05,62.17,62.29,62.291,120.155,0.121,0.121,,192.457,0.0,500.5,0.0,41.05,2,0
10,pass,,logs/standalone_plc2_module2_10x2min_gap30_20260320_205447_session10_summary.json,logs/standalone_plc2_module2_10x2min_gap30_20260320_205447_session10.log,logs/standalone_plc2_module2_10x2min_gap30_20260320_205447_session10_reset.log,139.31,,17.714,18.559,18.559,18.8,18.8,120.149,0.121,0.121,,148.968,0.0,500.5,0.0,40.95,1,0
