session,result,failure,reset_to_slac_start_s,reset_to_slac_match_s,reset_to_precharge_s,reset_to_relay_close_s,reset_to_delivery_s,reset_to_current_demand_s,reset_to_charge_ready_s,hold_until_stop_s,stop_to_relay_open_s,stop_to_hlc_done_s,stop_to_cp_b_s,max_present_v,max_present_i,qca_reprime_events,overrun_events,summary_file,log_file
01,pass,,12.635,14.702,18.075,18.195,19.04,19.16,19.16,120.164,0.121,0.121,0.844,500.5,41.6,1,0,logs/standalone_plc2_module2_10x2min_gap30_20260320_205447_session01_summary.json,logs/standalone_plc2_module2_10x2min_gap30_20260320_205447_session01.log
02,pass,,12.533,14.238,17.711,17.711,18.554,18.796,18.796,120.177,0.12,0.121,0.482,500.5,41.1,1,0,logs/standalone_plc2_module2_10x2min_gap30_20260320_205447_session02_summary.json,logs/standalone_plc2_module2_10x2min_gap30_20260320_205447_session02.log
03,pass,,12.636,14.703,18.077,18.197,19.042,19.163,19.163,120.145,0.121,0.121,0.603,500.5,41.0,1,0,logs/standalone_plc2_module2_10x2min_gap30_20260320_205447_session03_summary.json,logs/standalone_plc2_module2_10x2min_gap30_20260320_205447_session03.log
04,pass,,12.534,57.804,61.177,61.297,62.15,62.274,62.274,120.213,0.12,0.121,0.482,500.5,41.1,2,0,logs/standalone_plc2_module2_10x2min_gap30_20260320_205447_session04_summary.json,logs/standalone_plc2_module2_10x2min_gap30_20260320_205447_session04.log
05,pass,,12.533,14.238,17.712,17.712,18.556,18.676,18.797,120.166,0.12,0.12,0.372,500.5,40.97,1,0,logs/standalone_plc2_module2_10x2min_gap30_20260320_205447_session05_summary.json,logs/standalone_plc2_module2_10x2min_gap30_20260320_205447_session05.log
06,pass,,12.653,14.721,18.094,18.215,19.059,19.179,19.3,120.155,0.121,0.121,0.603,500.5,40.95,1,0,logs/standalone_plc2_module2_10x2min_gap30_20260320_205447_session06_summary.json,logs/standalone_plc2_module2_10x2min_gap30_20260320_205447_session06.log
07,pass,,12.538,14.243,17.716,17.716,18.56,18.68,18.801,120.186,0.121,0.121,0.603,500.5,40.95,1,0,logs/standalone_plc2_module2_10x2min_gap30_20260320_205447_session07_summary.json,logs/standalone_plc2_module2_10x2min_gap30_20260320_205447_session07.log
08,pass,,12.631,14.698,18.071,18.192,19.036,19.157,19.157,120.147,0.12,0.121,0.603,500.5,40.95,1,0,logs/standalone_plc2_module2_10x2min_gap30_20260320_205447_session08_summary.json,logs/standalone_plc2_module2_10x2min_gap30_20260320_205447_session08.log
09,pass,,12.543,57.834,61.206,61.327,62.17,62.291,62.291,120.155,0.121,0.121,0.362,500.5,41.05,2,0,logs/standalone_plc2_module2_10x2min_gap30_20260320_205447_session09_summary.json,logs/standalone_plc2_module2_10x2min_gap30_20260320_205447_session09.log
10,pass,,12.535,14.24,17.715,17.836,18.559,18.8,18.8,120.149,0.121,0.121,0.482,500.5,40.95,1,0,logs/standalone_plc2_module2_10x2min_gap30_20260320_205447_session10_summary.json,logs/standalone_plc2_module2_10x2min_gap30_20260320_205447_session10.log
