session,result,failure,summary_file,log_file,reset_log,reset_to_run_start,reset_to_slac_start,reset_to_slac_match,reset_to_precharge,reset_to_relay_close,reset_to_delivery,reset_to_current_demand,reset_to_charge_ready,hold_until_stop,stop_to_relay_open,stop_to_hlc_done,stop_to_stop_done,reset_to_done_end,min_present_v,max_present_v,min_present_i,max_present_i,qca_reprime_events,matching_failed_events,slac_failure_events,slac_init_timeout_events,overrun_events
01,pass,,logs/standalone_plc2_module2_10x2min_reset3s_20260322_193830_session01_summary.json,logs/standalone_plc2_module2_10x2min_reset3s_20260322_193830_session01.log,logs/standalone_plc2_module2_10x2min_reset3s_20260322_193830_session01_reset.log,3.421,14.054,15.761,30.203,30.203,31.106,31.207,31.307,120.087,0.101,0.101,,151.501,0.0,500.5,0.0,41.35,1,0,0,0,0
02,pass,,logs/standalone_plc2_module2_10x2min_reset3s_20260322_193830_session02_summary.json,logs/standalone_plc2_module2_10x2min_reset3s_20260322_193830_session02.log,logs/standalone_plc2_module2_10x2min_reset3s_20260322_193830_session02_reset.log,3.424,14.058,15.766,19.177,19.177,20.081,20.182,20.282,120.002,0.101,0.101,,140.389,0.0,500.5,0.0,40.95,1,0,0,0,0
03,pass,,logs/standalone_plc2_module2_10x2min_reset3s_20260322_193830_session03_summary.json,logs/standalone_plc2_module2_10x2min_reset3s_20260322_193830_session03.log,logs/standalone_plc2_module2_10x2min_reset3s_20260322_193830_session03_reset.log,3.423,14.054,118.269,121.579,121.68,122.483,122.683,122.683,120.089,-188.592,0.101,,242.879,0.0,500.5,0.0,41.2,3,0,0,4,0
04,pass,,logs/standalone_plc2_module2_10x2min_reset3s_20260322_193830_session04_summary.json,logs/standalone_plc2_module2_10x2min_reset3s_20260322_193830_session04.log,logs/standalone_plc2_module2_10x2min_reset3s_20260322_193830_session04_reset.log,3.424,14.066,15.773,30.114,30.114,31.018,31.218,31.218,120.032,0.101,0.101,,151.356,0.0,500.4,0.0,40.95,1,0,0,0,0
05,pass,,logs/standalone_plc2_module2_10x2min_reset3s_20260322_193830_session05_summary.json,logs/standalone_plc2_module2_10x2min_reset3s_20260322_193830_session05.log,logs/standalone_plc2_module2_10x2min_reset3s_20260322_193830_session05_reset.log,3.419,14.061,217.011,220.422,220.422,221.325,221.425,221.526,120.098,-287.54,0.101,,341.732,0.0,500.5,0.0,41.38,5,0,0,8,0
06,pass,,logs/standalone_plc2_module2_10x2min_reset3s_20260322_193830_session06_summary.json,logs/standalone_plc2_module2_10x2min_reset3s_20260322_193830_session06.log,logs/standalone_plc2_module2_10x2min_reset3s_20260322_193830_session06_reset.log,3.422,14.055,15.564,30.61,30.71,31.514,31.714,31.815,120.083,0.101,0.101,,152.005,0.0,500.5,0.0,41.0,1,0,0,0,0
07,pass,,logs/standalone_plc2_module2_10x2min_reset3s_20260322_193830_session07_summary.json,logs/standalone_plc2_module2_10x2min_reset3s_20260322_193830_session07.log,logs/standalone_plc2_module2_10x2min_reset3s_20260322_193830_session07_reset.log,3.422,14.052,20.673,24.084,24.084,24.987,25.087,25.088,120.084,0.101,0.101,,145.279,0.0,500.5,0.0,40.85,1,0,0,0,0
08,pass,,logs/standalone_plc2_module2_10x2min_reset3s_20260322_193830_session08_summary.json,logs/standalone_plc2_module2_10x2min_reset3s_20260322_193830_session08.log,logs/standalone_plc2_module2_10x2min_reset3s_20260322_193830_session08_reset.log,3.42,14.052,15.758,30.403,30.403,31.306,31.506,31.507,120.058,0.101,0.101,,151.671,0.0,500.5,0.0,40.82,1,0,0,0,0
09,pass,,logs/standalone_plc2_module2_10x2min_reset3s_20260322_193830_session09_summary.json,logs/standalone_plc2_module2_10x2min_reset3s_20260322_193830_session09.log,logs/standalone_plc2_module2_10x2min_reset3s_20260322_193830_session09_reset.log,3.46,14.092,15.798,19.109,19.109,20.012,20.213,20.213,120.092,0.101,0.101,,140.412,0.0,500.5,0.0,40.8,1,0,0,0,0
10,pass,,logs/standalone_plc2_module2_10x2min_reset3s_20260322_193830_session10_summary.json,logs/standalone_plc2_module2_10x2min_reset3s_20260322_193830_session10.log,logs/standalone_plc2_module2_10x2min_reset3s_20260322_193830_session10_reset.log,3.421,14.055,66.001,69.412,69.512,70.315,70.516,70.516,120.004,-136.456,0.102,,190.626,0.0,500.7,0.0,41.0,2,0,0,2,0
